SAISON,ANNEE,CHAMPIONNAT,ADVERSAIRE,PTS,RBD,AST,STL,BLK,P,PA,3P,3PA,1P,1PA,TO,EFF,MIN,
2223,2022,LFB,Landerneau,13,0,2,0,0,4,11,2,7,3,4,2,5,23,1
2223,2022,LFB,Lattes,5,1,2,3,0,2,6,0,3,1,2,4,2,21,1
2223,2022,CDF,Feytiat,11,2,1,0,0,2,3,2,3,5,6,4,8,15,1
2223,2022,LFB,St Amand,3,1,1,0,0,0,2,0,1,3,5,1,0,7,1
2223,2022,CDF,St Amand,10,1,3,1,0,3,5,2,3,2,2,4,9,14,1
2223,2022,LFB,ASVEL,12,1,2,1,0,5,10,0,2,2,3,3,7,22,1
2223,2022,LFB,Basket Landes,10,0,2,0,0,4,9,0,2,2,3,2,4,22,1
2223,2022,LFB,Angers,0,1,3,0,0,0,3,0,2,0,0,2,-1,14,1
2223,2023,LFB,Flammes,6,3,1,0,1,1,6,1,2,3,3,2,4,14,1
2223,2023,LFB,Toulouse,13,2,4,0,0,4,6,1,2,4,4,1,16,27,1
2223,2023,LFB,Roche Vendée,14,3,3,1,0,4,12,3,6,3,5,1,10,28,1
2223,2023,LFB,ESBVA,8,3,2,1,0,4,13,0,4,0,0,1,4,36,1
2223,2023,LFB,Landerneau,17,1,3,1,0,5,8,2,4,5,6,4,14,23,1
2223,2023,CDF,ASVEL,17,2,1,1,0,7,11,2,3,1,2,1,15,28,1
2223,2023,LFB,Lattes,12,1,3,0,0,4,6,2,4,2,2,6,8,32,1
2223,2023,LFB,Bourges,14,5,0,1,0,4,8,1,4,5,6,4,11,39,1
2223,2023,LFB,St Amand,14,3,8,0,0,2,5,1,1,9,12,0,19,35,1
2223,2023,LFB,ASVEL,9,2,4,1,0,3,10,0,3,3,4,3,5,33,1
2223,2023,LFB,Basket Landes,26,2,4,0,0,6,10,2,3,12,12,2,26,41,1
2223,2023,LFB,Angers,13,0,4,1,0,4,8,1,2,4,5,3,10,30,1
2223,2023,LFB,Toulouse,5,1,1,1,0,1,6,0,2,3,4,3,-1,27,1
2223,2023,LFB,Charleville,15,2,2,0,0,5,9,1,4,4,5,3,11,22,1
2223,2023,LFB,Roche Vendée,22,2,2,1,0,6,14,2,5,8,8,2,17,38,1
2223,2023,LFB,ESBVA,18,3,2,2,0,5,8,3,5,5,6,5,16,29,1
2223,2023,EURO U20,FINLANDE,14,2,6,0,0,5,13,1,4,3,3,3,11,19,1
2223,2023,EURO U20,LITUANIE,19,3,3,1,0,6,9,2,4,5,7,2,19,19,1
