SAISON,ANNEE,CHAMPIONNAT,ADVERSAIRE,PTS,RBD,AST,STL,BLK,P,PA,3P,3PA,1P,1PA,TO,EFF,MIN
2223,2022,NCAA,Harvard,11,1,1,1,0,4,8,3,4,0,1,1,7.2,26
2223,2022,NCAA,Dartmouth,8,2,6,1,0,4,9,0,3,0,1,3,5.7,21
2223,2022,NCAA,Providence,2,0,2,1,0,1,6,0,2,0,0,0,0.6,12
2223,2022,NCAA,Coppin State,2,1,3,3,0,1,1,0,0,0,0,2,5.1,18
2223,2022,NCAA,Southeast Missouri,0,0,0,0,0,0,1,0,0,0,0,2,-2.7,6
2223,2022,NCAA,Samford,6,4,4,0,0,2,2,1,1,1,1,3,6.4,14
2223,2022,NCAA,Buffalo,4,2,8,1,0,2,4,0,0,0,0,1,7.8,25
2223,2022,NCAA,Maine,6,3,3,1,0,2,3,0,1,2,2,0,8.7,22
2223,2022,NCAA,Hartford,7,5,4,2,1,3,4,1,2,0,0,3,7.8,16
2223,2022,NCAA,Quinnipiac,0,0,0,0,0,0,2,0,0,0,0,0,-1.8,8
2223,2022,NCAA,Wake Forest,7,1,2,1,0,3,7,1,3,0,0,2,3.6,18
2223,2022,NCAA,Princeton,2,4,3,1,0,1,4,0,2,0,0,2,1.1,16
2223,2022,NCAA,Duquesne,3,0,6,0,0,1,3,1,3,0,0,2,3.1,18
2223,2023,NCAA,UMass,3,1,4,0,0,1,5,1,3,0,0,1,1.2,15
2223,2023,NCAA,La Salle,5,3,4,1,0,2,4,1,1,0,0,2,5.7,15
2223,2023,NCAA,Saint Louis,2,2,2,0,0,0,1,0,0,2,3,2,-0.7,11
2223,2023,NCAA,Loyola,5,3,6,1,0,2,7,1,2,0,3,3,2.0,17
2223,2023,NCAA,Richmond,5,1,5,0,0,1,4,0,2,3,4,1,4.2,18
2223,2023,NCAA,St Bonaventure,12,2,4,2,0,4,7,1,1,3,3,1,11.5,20
2223,2023,NCAA,George Mason,2,1,0,0,0,0,1,0,0,2,4,4,-4.0,13
2223,2023,NCAA,St Joseph's,5,0,2,0,0,2,6,1,1,0,0,1,2.0,15
2223,2023,NCAA,Davidson,5,0,1,0,0,1,2,0,0,3,4,2,1.5,16
2223,2023,NCAA,George Washington,6,5,4,2,0,2,4,1,2,1,2,1,7.7,19
2223,2023,NCAA,VCU,2,4,4,1,0,0,4,0,2,2,4,1,2.4,23
2223,2023,NCAA,UMass,0,1,3,0,0,0,4,0,2,0,0,2,-3.6,15
2223,2023,NCAA,St Joseph's,2,2,0,1,0,1,2,0,1,0,0,1,1.2,14
2223,2023,NCAA,Fordham,2,1,2,1,0,0,3,0,0,2,4,2,-0.2,13
2223,2023,NCAA,Dayton,3,1,7,1,0,1,3,1,3,0,0,5,2.1,17
2223,2023,NCAA PO,George Washington,0,3,2,0,0,0,3,0,2,0,0,1,-2.0,24
2223,2023,NCAA PO,Saint Louis,0,0,1,0,0,0,2,0,1,0,2,1,-2.9,12
2223,2023,NCAA PO,Boston University,0,3,2,1,0,0,6,0,3,0,0,0,-0.9,17
2223,2023,NCAA PO,Richmond,0,5,5,1,0,0,3,0,0,0,0,1,2.5,18
2223,2023,NCAA PO,Harvard,1,1,2,0,0,0,1,0,1,1,3,1,-0.6,15
2223,2023,EURO U20,FINLANDE,7,5,1,1,0,1,4,1,2,4,4,2,9.,21
2223,2023,EURO U20,LITUANIE,0,2,5,1,0,0,7,0,3,0,0,2,-1,19
2223,2023,EURO U20,HONGRIE,1,1,2,0,0,0,3,0,2,1,0,1,-1,20
2223,2023,EURO U20 PO,TCHEQUIE,8,4,7,4,0,3,7,2,4,0,1,1,17,19
2223,2023,EURO U20 PO,ITALIE,4,2,5,0,0,1,6,0,2,2,2,1,5.,24
2223,2023,EURO U20 PO,ESPAGNE,11,5,3,2,0,3,7,1,2,4,6,1,14,22
2223,2023,EURO U20 PO,LETTONIE,18,6,7,3,0,3,8,2,6,10,11,3,25,27
2324,2023,NCAA,Sacred Heart,8,1,4,2,0,3,4,3,1,1,2,2,9.1,19
2324,2023,NCAA,UMass-Lowell,4,4,4,1,0,2,6,4,2,0,0,0,5.2,21
2324,2023,NCAA,Maine,0,1,2,2,0,0,5,5,2,0,0,3,-2.4,24
