SAISON,ANNEE,CHAMPIONNAT,ADVERSAIRE,PTS,RBD,AST,STL,BLK,P,PA,3P,3PA,1P,1PA,TO,EFF,MIN
2425,2025,LFB,Chartres,2,3,3,0,1,1,2,0,1,0,0,0,8,13
2425,2025,LFB,Lattes,0,0,0,0,0,0,0,0,0,0,0,1,-1,4
2425,2025,LFB,Lyon,0,1,4,2,0,0,2,0,2,0,0,3,2,24
2425,2025,LFB,Bourges,0,1,0,0,0,0,3,0,1,0,0,1,-3,9
2425,2024,LFB,Basket Landes,0,0,0,0,0,0,0,0,0,0,0,1,-1,2
2425,2024,LFB,Roche Vendée,0,0,2,0,0,0,0,0,0,0,0,0,2,2
2425,2024,LFB,Charnay,9,1,0,0,0,3,4,3,4,0,0,2,7,10
2425,2025,LFB PO,Basket Landes,0,0,1,0,0,0,1,0,1,0,0,1,-1,3
2425,2025,LFB PO,Charleville,0,1,2,0,0,0,1,0,1,0,0,3,-1,14
2425,2024,CDF,Chartres,0,1,1,0,0,0,1,0,1,0,0,1,0,2
2425,2024,EURO PO,Keltern,3,1,2,1,0,1,7,1,4,0,0,2,-1,20
2425,2024,EURO PO,Keltern,1,1,0,0,0,0,1,0,0,1,2,0,0,6
2425,2024,EURO,Iraklis,14,3,2,3,0,5,8,3,6,1,2,1,17,19
2425,2024,EURO,Iraklis,10,2,6,3,0,4,6,2,4,0,0,0,19,17
2425,2024,EURO,Madrid,2,1,1,0,0,0,0,0,0,2,2,1,3,4
