SAISON,ANNEE,CHAMPIONNAT,ADVERSAIRE,PTS,RBD,AST,STL,BLK,P,PA,3P,3PA,1P,1PA,TO,EFF,MIN
2223,2023,LFB,Flammes,0,0,0,0,0,0,1,0,1,0,0,1,2,3
2223,2023,LFB,lattes,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2223,2023,LFB,Landerneau,2,0,0,0,0,1,1,0,0,0,0,1,1,3
2223,2022,LFB,Angers,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2223,2022,LFB,lattes,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2223,2022,LFB,Landerneau,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2223,2023,LFB PD,Saint-Amand,14,2,0,0,1,4,9,3,7,3,4,4,7,26
2223,2023,LFB PD,Toulouse,2,2,0,0,0,1,6,0,4,0,0,5,6,23
2223,2023,LFB PD,Saint-Amand,2,0,1,1,0,1,2,0,1,0,0,2,0,8
2223,2023,LFB PD,Toulouse,0,0,0,0,0,0,1,0,1,0,0,0,-1,1
2223,2023,LFB PD,Landerneau,0,2,1,1,0,0,3,0,2,0,0,1,0,15
2223,2022,CDF,Saint-Amand,0,1,2,2,0,0,1,0,1,0,0,0,2,3
2223,2022,CDF,Feytiat,0,1,1,1,0,0,2,0,1,0,2,0,-3,11
2324,2024,LFB,Angers,0,0,2,0,0,0,3,0,1,0,0,0,-1,10
2324,2024,LFB,lattes,0,2,0,0,0,0,2,0,2,0,0,2,-2,12
2324,2024,LFB,Roche Vendée,6,1,1,1,0,2,3,2,3,0,0,1,7,10
2324,2024,LFB,Basket Landes,3,1,0,1,0,1,3,1,3,0,0,1,2,5
2324,2024,LFB,Saint-Amand,2,1,1,1,0,1,4,0,3,0,0,0,2,22
2324,2024,LFB,Flammes,5,0,0,0,0,2,2,1,1,0,0,1,4,4
2324,2023,LFB,Bourges,2,4,0,0,0,0,3,0,2,2,2,3,0,27
2324,2023,LFB,lattes,5,0,4,1,0,2,9,1,4,0,0,3,0,40
2324,2023,LFB,Roche Vendée,5,2,0,1,0,1,2,1,2,2,2,0,7,18
2324,2023,LFB,Basket Landes,3,4,1,0,0,1,4,1,2,0,0,0,5,24
2324,2023,LFB,ESBVA,0,0,0,1,0,0,2,0,2,0,0,2,-3,11
2324,2024,CDF,Basket Landes,4,0,0,0,0,2,2,0,0,0,0,1,3,11
2324,2023,CDF,Nice,7,2,5,1,0,3,7,0,3,1,1,2,9,37
