SAISON,CHAMPIONNAT,ADVERSAIRE,PTS,RBD,AST,STL,BLK,P,PA,3P,3PA,1P,1PA,TO,EFF,MIN
2021,LF2,Calais,0,0,0,0,0,0,2,0,1,0,0,1,-3,5
2021,LF2,La Tronche,2,0,0,0,0,1,2,0,1,0,1,1,-1,3
2022,LF2,Mondeville,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,LF2,Champagne Basket,0,0,0,0,0,0,1,0,1,0,0,0,-1,1
2022,LF2,Aulnoye,2,0,0,0,0,1,2,0,0,0,0,0,1,6
2023,EURO U20,FINLANDE,9,2,5,2,0,4,6,1,2,0,0,0,16,18
2023,EURO U20,LITUANIE,10,4,3,2,0,4,8,1,2,1,1,0,15,19
2023,EURO U20,HONGRIE,2,3,2,1,0,1,4,0,3,0,0,0,5,16
2023,EURO U20,TCHEQUIE,5,1,7,0,0,2,6,1,5,0,0,0,9,19
2023,EURO U20,ITALIE,4,0,2,0,0,1,4,0,1,2,2,0,3,12
2023,EURO U20,ESPAGNE,4,1,1,0,0,1,3,1,2,1,2,0,3,10
2023,EURO U20,LETTONIE,0,0,1,0,0,0,2,0,2,0,0,0,-1,5
2023,CDF,SIG,7,5,5,0,0,2,5,0,0,3,6,0,11,22
2023,LF2,Chartres,15,3,1,1,1,5,8,2,3,3,6,1,14,23
2023,LF2,SIG,11,3,1,0,0,4,8,2,3,1,3,1,8,24
2023,LF2,Feytiat,6,5,4,1,0,3,9,0,1,0,0,3,7,20
2023,LF2,Voiron,9,2,6,2,0,4,5,1,1,0,0,5,13,21
2023,LF2,Cavigal Nice,12,3,6,3,0,5,11,2,5,0,0,7,11,29
2023,LF2,Aulnoye,8,4,0,1,0,3,6,0,1,2,3,2,7,21
2023,LF2,Montbrison,5,2,4,2,0,2,6,1,2,0,0,3,6,21
2023,LF2,Champagne Basket,17,4,6,1,0,6,10,2,3,3,6,9,12,31
2023,LF2,La Tronche,11,7,3,2,0,4,12,0,3,3,4,0,14,32
2023,LF2,Pôle France,2,7,9,1,0,0,6,0,3,2,2,2,11,21
2024,LF2,Toulouse,9,2,4,1,0,3,7,2,4,1,4,7,2,24
2024,LF2,Chartres,4,2,1,0,0,2,4,0,1,0,0,4,1,15
2024,LF2,SIG,6,4,3,2,0,1,6,0,2,4,5,4,5,22
2024,LF2,Feytiat,10,0,3,1,0,4,9,2,4,0,0,1,8,20
2024,LF2,Voiron,2,2,7,0,0,1,5,0,2,0,2,3,2,19
2024,LF2,Cavigal Nice,12,6,5,6,0,5,9,0,3,2,3,3,21,31
2024,LF2,Aulnoye,4,2,2,0,0,2,10,0,4,0,0,1,-1,24
2024,LF2,Montbrison,16,3,4,0,0,5,7,3,4,3,3,3,18,27
2024,LF2,Champagne Basket,9,2,2,2,0,3,8,1,5,2,4,3,5,25
2024,LF2,La Tronche,19,9,1,3,0,6,9,3,4,4,4,2,27,26
2024,LF2,Pôle France,6,4,5,1,0,2,5,1,2,1,2,3,9,27
2024,LF2,Toulouse,19,9,1,3,0,6,9,3,4,4,4,2,27,26
2024,LF2 PO,Toulouse,9,5,1,2,0,4,10,1,3,0,0,4,7,29
2024,LF2 PO,Toulouse,10,1,2,2,0,4,10,1,5,1,1,3,6,25
2024,CDF,Saint Amand,7,1,5,0,0,3,9,1,3,0,0,4,3,20
2024,LF2,La Tronche,13,2,4,2,0,5,12,2,7,1,1,6,8,29
2024,LF2,Voiron,11,8,5,2,0,4,7,3,5,0,0,2,21,29
2024,LF2,Pôle France,17,5,7,3,0,7,13,1,2,2,2,3,23,32
2024,CDF,Charleville,9,2,3,1,0,3,12,1,5,2,2,5,1,29
2024,LF2,Alençon,14,3,5,3,0,6,8,2,4,0,0,2,21,25
2024,LF2,Toulouse,14,3,6,1,0,5,10,1,4,3,7,1,14,28
2024,LF2,Aulnoye,6,4,3,1,0,3,7,0,1,0,0,3,7,27
